CustomerID,Lookalikes
C0001,"[('C0139', 0.9999868808961591), ('C0193', 0.9998096110969696), ('C0011', 0.9997949778407054)]"
C0002,"[('C0029', 0.999916648063628), ('C0019', 0.9995096411821509), ('C0025', 0.999241907656972)]"
C0003,"[('C0124', 0.9987683656419096), ('C0038', 0.9987126261643443), ('C0190', 0.9977394187171037)]"
C0004,"[('C0017', 0.9998858943700687), ('C0175', 0.9998366971272976), ('C0113', 0.9995464525662086)]"
C0005,"[('C0063', 0.999985409899255), ('C0007', 0.9997903515577732), ('C0146', 0.999720276169115)]"
C0006,"[('C0023', 0.9999294373393112), ('C0154', 0.9998985789276943), ('C0152', 0.9997879300622249)]"
C0007,"[('C0146', 0.9998578025228806), ('C0005', 0.9997903515577732), ('C0063', 0.9997796297262492)]"
C0008,"[('C0084', 0.9995734861924986), ('C0039', 0.999126423006983), ('C0017', 0.9988892861216574)]"
C0009,"[('C0020', 0.9999934031283176), ('C0080', 0.9999008454383576), ('C0128', 0.999715870848017)]"
C0010,"[('C0121', 0.9989344823273083), ('C0034', 0.9959010004344655), ('C0134', 0.9938963919570194)]"
C0011,"[('C0001', 0.9997949778407054), ('C0139', 0.9997817352938274), ('C0064', 0.9994934372617108)]"
C0012,"[('C0093', 0.9999856826426321), ('C0018', 0.9999011239940068), ('C0145', 0.9998215172037878)]"
C0013,"[('C0059', 0.9997341346587364), ('C0021', 0.9996964920807708), ('C0114', 0.9995608529653901)]"
C0014,"[('C0128', 0.9995810323471414), ('C0009', 0.998740222840866), ('C0020', 0.9987047934861143)]"
C0015,"[('C0009', 0.9996227090777358), ('C0020', 0.9995221613823587), ('C0198', 0.9993365410019457)]"
C0016,"[('C0040', 0.9999803478790833), ('C0158', 0.9996914566045157), ('C0185', 0.9992193177564115)]"
C0017,"[('C0004', 0.9998858943700687), ('C0084', 0.99983706473388), ('C0113', 0.9995478785267379)]"
C0018,"[('C0012', 0.9999011239940068), ('C0093', 0.9998135932901332), ('C0101', 0.9995612027154905)]"
C0019,"[('C0025', 0.9999670948250404), ('C0088', 0.9995718644978311), ('C0166', 0.9995585806644156)]"
C0020,"[('C0009', 0.9999934031283176), ('C0080', 0.9999453990138812), ('C0128', 0.9997255133313286)]"
